score,name,type,metro,phone,address,cuisine,est_price
19,Al & Bea's Mexican Food,restaurant,LA_BoyleHeights,+1 323-267-8810,2025 East 1st Street,mexican,$500
19,Santa Cecilia Restaurant,restaurant,LA_BoyleHeights,+1-323-980-0716,1707 Pleasant Avenue,mexican,$500
19,X'tiosu Kitchen,restaurant,LA_BoyleHeights,+1-323-526-8844,923 Forest Avenue,mediterranean,$500
19,El Cartel Colombian Restaurant,restaurant,Miami_LittleHavana,+1-305-358-7800,194 Southeast 1st Avenue,latin_american,$500
19,Camila's Restaurante Brasileiro,restaurant,Miami_LittleHavana,+1 305-375-0992,129 Southeast 1st Avenue,brazilian,$500
19,Chick'n Grill,restaurant,Miami_LittleHavana,+1-786-621-4800,250 Southwest 8th Street,chicken,$500
19,La Moon,restaurant,Miami_LittleHavana,+1-305-860-6209,97 Southwest 8th Street,latin;columbia,$500
19,Little Bread Cuban Sandwich Co.,restaurant,Miami_LittleHavana,+1-786-420-2672,541 Southwest 12th Avenue,cuban,$500
19,The Henry,restaurant,Miami_LittleHavana,+1-786-471-0070,701 South Miami Avenue,american,$500
19,Rey's Pizza,restaurant,Miami_LittleHavana,+1-305-856-7535,2391 West Flagler Street,pizza;cuban,$500
19,Señor Veggie,restaurant,SanAntonio_Southside,+1-210-228-0073,620 South Presa Street,mexican,$500
19,Topaz Dentistry and Braces,dentist,SanAntonio_Southside,+1-254-382-8717,3850 South New Braunfels Avenue,,$750
19,Battalion,restaurant,SanAntonio_Southside,+1-210-816-0088,604 South Alamo Street,italian,$500
18,La Tijera de Oro,beauty,Hialeah_FL,+1-305-822-8802,3974 Palm Avenue,,$500
18,La Canasta,restaurant,LA_BoyleHeights,+1-323-269-2562,4112 Whittier Boulevard,,$500
18,Yisell Bakery & Coffee,bakery,Miami_LittleHavana,+1-305-856-8141,1356,,$500
18,Amarres de amor Florida,restaurant,Miami_LittleHavana,+1-786-755-8139,43 Northeast 1st Street,,$500
